district_id,state_name,district_name,malnutrition_index_pc1,z_malnutrition_index_pc1
130,Chhattisgarh,Rajnandgaon,0.29477474819153426,0.19058015034737072
131,Chhattisgarh,Sukma,2.0037610586412993,1.2954877789190251
132,Chhattisgarh,Surajpur,-0.6041922893099434,-0.3906272774104539
133,Chhattisgarh,Surguja,-0.731779472839264,-0.473115973503296
134,Chhattisgarh,Uttar Bastar Kanker,0.2313560373693883,0.14957817335486487
135,Delhi,Central,-0.489076624227308,-0.31620176812452555
136,Delhi,East,-0.0976509024235012,-0.06313404991303721
137,Delhi,New Delhi,-1.5513154634098327,-1.002968999436628
138,Delhi,North,-1.9186108681142204,-1.240435790197747
139,Delhi,North East,-1.0313273452281666,-0.6667820826471443
140,Delhi,North West,-1.1202312825031298,-0.7242609740253383
141,Delhi,Shahdara,0.3803005640560621,0.24587499139478775
142,Delhi,South,-1.3761397055299271,-0.8897129540026595
143,Delhi,South East,-1.3159438629315778,-0.8507946517971195
144,Delhi,South West,-1.62376269750533,-1.0498081701962607
145,Delhi,West,-1.1870578562571348,-0.7674662300771988
146,Goa,North Goa,-1.1901282871035062,-0.7694513498200625
147,Goa,South Goa,-1.1542167178440472,-0.7462335120959481
148,Gujarat,Ahmadabad,0.5126742525216473,0.33145829730746085
149,Gujarat,Amreli,0.748356251441157,0.48383332625350883
150,Gujarat,Anand,2.5065306424857017,1.6205424298584337
151,Gujarat,Arvalli,3.439152057177801,2.2235083572984236
152,Gujarat,Banas Kantha,2.1733785202161586,1.4051502297456202
153,Gujarat,Bharuch,2.361921195417255,1.527048362496709
154,Gujarat,Bhavnagar,1.5746544859083182,1.018058332712326
155,Gujarat,Botad,0.9644965315614403,0.6235740853726762
156,Gujarat,Chhotaudepur,3.477339813948764,2.248197814151458
157,Gujarat,Dang,3.9152892016243834,2.531344388475817
158,Gujarat,Devbhumi Dwarka,0.8111379077559192,0.5244234296220306
159,Gujarat,Dohad,4.107310040218769,2.6554912515082223
160,Gujarat,Gandhinagar,2.605040399023143,1.6842317530679978
161,Gujarat,Gir Somnath,0.7612171752172294,0.4921482745382152
162,Gujarat,Jamnagar,0.353521842755121,0.2285617962756196
163,Gujarat,Junagadh,0.21286206790705003,0.13762130288927815
164,Gujarat,Kachchh,0.6774921835600174,0.438017716897993
165,Gujarat,Kheda,2.3903471166370567,1.545426518607667
166,Gujarat,Mahesana,1.9783868300823644,1.2790826277879377
167,Gujarat,Mahisagar,3.0132899929551327,1.9481765769314623
168,Gujarat,Morbi,0.938488164726395,0.6067589460429944
169,Gujarat,Narmada,3.4732547136749794,2.2455566821374764
170,Gujarat,Navsari,2.1536734596284024,1.3924103548667228
171,Gujarat,Panch Mahals,4.281799945085,2.768303873713898
172,Gujarat,Patan,2.2838646073861106,1.476582586938104
173,Gujarat,Porbandar,-0.49623950211236434,-0.32083276977113506
174,Gujarat,Rajkot,1.0685658552946466,0.6908578248561429
175,Gujarat,Sabar Kantha,2.4984441868895493,1.615314309292656
176,Gujarat,Surat,1.4683275800907536,0.9493150030309264
177,Gujarat,Surendranagar,2.225454197296855,1.4388186169747446
178,Gujarat,Tapi,3.692470280595632,2.3872857005100956
179,Gujarat,Vadodara,1.9421443451885123,1.2556508438159109
180,Gujarat,Valsad,1.6344134989897547,1.0566942123714296
181,Haryana,Ambala,-2.163118991712742,-1.3985171565374503
182,Haryana,Bhiwani,-1.6479637781172396,-1.0654548482441026
183,Haryana,Charki Dadri,-1.8965723621357826,-1.2261872773635571
184,Haryana,Faridabad,-1.6006514019324132,-1.034866068771253
185,Haryana,Fatehabad,-1.107591922334826,-0.7160892728333328
186,Haryana,Gurugram,-1.271215006733954,-0.8218761905269221
187,Haryana,Hisar,-0.8506250361947064,-0.5499529667374697
188,Haryana,Jhajjar,-2.6957694731475303,-1.742890646659074
189,Haryana,Jind,-1.5056629478804628,-0.9734533664772208
190,Haryana,Kaithal,-0.1783582532381,-0.11531361802987623
191,Haryana,Karnal,-1.0592359425786455,-0.6848257743529973
192,Haryana,Kurukshetra,-1.1090268396074505,-0.7170169871346105
193,Haryana,Mahendragarh,-1.911040346735376,-1.2355412355880329
194,Haryana,Nuh,1.129621236112468,0.7303318426516419
195,Haryana,Palwal,-1.1391919019032029,-0.7365195467766151
196,Haryana,Panchkula,-2.2287074883231353,-1.44092196095762
197,Haryana,Panipat,-1.5490826337124461,-1.001525412351782
198,Haryana,Rewari,-1.5169140861878947,-0.9807275432625951
199,Haryana,Rohtak,-0.8448153885786404,-0.54619686645097
200,Haryana,Sirsa,-1.1808060396254012,-0.7634242551084142
201,Haryana,Sonipat,-2.2318866395257917,-1.4429773714630871
202,Haryana,Yamunanagar,-0.9896264247128997,-0.6398212668032465
203,Himachal Pradesh,Bilaspur,-0.23167391795136105,-0.1497836920754356
204,Himachal Pradesh,Chamba,-0.5836397101159628,-0.3773394579590062
205,Himachal Pradesh,Hamirpur,-1.4648907770377666,-0.9470930133707843
206,Himachal Pradesh,Kangra,-0.4536905466170894,-0.2933236755045388
207,Himachal Pradesh,Kinnaur,-0.9659948959451633,-0.6245428200125224
208,Himachal Pradesh,Kullu,0.013214116788638,0.00854329748303272
209,Himachal Pradesh,Lahul And Spiti,-0.3278373882122466,-0.21195607533648872
210,Himachal Pradesh,Mandi,-1.002350155726108,-0.6480475161151487
211,Himachal Pradesh,Shimla,-1.7431365231358116,-1.126986699821925
212,Himachal Pradesh,Sirmaur,-0.8701841911458741,-0.5625985095260908
213,Himachal Pradesh,Solan,-0.5912683201805191,-0.38227156853484134
214,Himachal Pradesh,Una,-1.3874460792911636,-0.8970228420596239
215,Jammu And Kashmir,Anantnag,0.5251519951821966,0.33952550824337907
216,Jammu And Kashmir,Bandipora,-1.3143472387568735,-0.8497623894438134
217,Jammu And Kashmir,Baramulla,-1.2408950885820038,-0.8022735122263912
218,Jammu And Kashmir,Budgam,-0.2923641135434176,-0.18902160737010013
219,Jammu And Kashmir,Doda,-1.134687565843036,-0.7336073670569198
220,Jammu And Kashmir,Ganderbal,-0.11968184613252353,-0.07737767352774316
221,Jammu And Kashmir,Jammu,-1.0856902823450678,-0.701929247703263
222,Jammu And Kashmir,Kathua,-0.5739305074697441,-0.3710621858676154
223,Jammu And Kashmir,Kishtwar,-0.02881960749338708,-0.01863268533935998
224,Jammu And Kashmir,Kulgam,-1.340005923356534,-0.8663514493911794
225,Jammu And Kashmir,Kupwara,0.16210003006582518,0.10480222030818279
226,Jammu And Kashmir,Poonch,-1.718315270573128,-1.1109390631969158
227,Jammu And Kashmir,Pulwama,-1.4193102345236248,-0.9176239129863256
228,Jammu And Kashmir,Rajouri,0.6318038912377434,0.40847895323755923
229,Jammu And Kashmir,Ramban,-1.3241455397327668,-0.8560972661067262
230,Jammu And Kashmir,Reasi,-2.3168317234985656,-1.4978967530387515
231,Jammu And Kashmir,Samba,-1.1624425360166337,-0.7515517344799192
232,Jammu And Kashmir,Shopian,0.3524196804236574,0.2278492173857173
233,Jammu And Kashmir,Srinagar,-0.5261814823603981,-0.34019110060638175
234,Jammu And Kashmir,Udhampur,0.6017037956448583,0.38901839639286334
